,Код болезни,Обязательные назначения,Необязательные назначения
0,I10,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
1, I11.0,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
2, I11.9,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
3, I12.0,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
4, I12.9,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
5, I13.0,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
6, I13.1,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
7, I13.2,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
8, I13.9,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
9, I15.0,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
